iter	Passed	Remaining
711	3367	1362
712	3371	1357
713	3376	1352
714	3380	1347
715	3385	1342
716	3390	1338
717	3394	1333
718	3399	1328
719	3404	1323
720	3408	1319
721	3413	1314
722	3418	1309
723	3423	1304
724	3427	1300
725	3432	1295
726	3436	1290
727	3441	1285
728	3446	1281
729	3450	1276
730	3455	1271
731	3460	1266
732	3464	1262
733	3469	1257
734	3473	1252
735	3478	1247
736	3483	1242
737	3487	1238
738	3492	1233
739	3496	1228
740	3501	1223
741	3505	1218
742	3510	1214
743	3514	1209
744	3519	1204
745	3524	1199
746	3529	1195
747	3534	1190
748	3538	1185
749	3542	1180
750	3547	1176
751	3551	1171
752	3556	1166
753	3560	1161
754	3565	1157
755	3569	1152
756	3574	1147
757	3579	1142
758	3583	1137
759	3588	1133
760	3592	1128
761	3597	1123
762	3601	1118
763	3606	1114
764	3610	1109
765	3615	1104
766	3619	1099
767	3624	1094
768	3628	1089
769	3632	1085
770	3637	1080
771	3642	1075
772	3646	1070
773	3651	1066
774	3655	1061
775	3660	1056
776	3665	1051
777	3669	1047
778	3675	1042
779	3681	1038
780	3686	1033
781	3692	1029
782	3698	1024
783	3709	1021
784	3758	1029
785	3788	1031
786	3805	1030
787	3814	1026
788	3821	1021
789	3830	1018
790	3838	1014
791	3844	1009
792	3852	1005
793	3859	1001
794	3864	996
795	3869	991
796	3876	987
797	3882	982
798	3888	978
799	3893	973
800	3904	969
801	3916	967
802	3924	962
803	3934	959
804	3944	955
805	3954	951
806	3967	948
807	3979	945
808	3988	941
809	3998	937
810	4005	933
811	4013	929
812	4020	924
813	4026	920
814	4035	916
815	4043	911
816	4053	907
817	4059	903
818	4068	899
819	4077	895
820	4089	891
821	4099	887
822	4110	884
823	4121	880
824	4127	875
825	4133	870
826	4140	866
827	4145	861
828	4151	856
829	4158	851
830	4163	846
831	4171	842
832	4178	837
833	4184	832
834	4189	827
835	4195	823
836	4200	818
837	4206	813
838	4215	808
839	4223	804
840	4232	800
841	4239	795
842	4247	791
843	4253	786
844	4259	781
845	4265	776
846	4273	771
847	4278	766
848	4284	762
849	4289	756
850	4294	751
851	4300	746
852	4306	742
853	4310	737
854	4316	732
855	4321	726
856	4326	721
857	4331	716
858	4337	711
859	4341	706
860	4347	701
861	4352	696
862	4357	691
863	4363	686
864	4368	681
865	4373	676
866	4378	671
867	4384	666
868	4390	661
869	4396	656
870	4402	651
871	4408	647
872	4413	642
873	4420	637
874	4426	632
875	4431	627
876	4436	622
877	4440	617
878	4445	611
879	4449	606
880	4454	601
881	4459	596
882	4464	591
883	4469	586
884	4473	581
885	4478	576
886	4482	571
887	4487	565
888	4491	560
889	4496	555
890	4500	550
891	4505	545
892	4510	540
893	4515	535
894	4520	530
895	4524	525
896	4528	520
897	4533	514
898	4538	509
899	4542	504
900	4547	499
901	4552	494
902	4556	489
903	4561	484
904	4566	479
905	4570	474
906	4575	469
907	4580	464
908	4584	458
909	4589	453
910	4594	448
911	4598	443
912	4603	438
913	4608	433
914	4612	428
915	4618	423
916	4622	418
917	4627	413
918	4632	408
919	4637	403
920	4642	398
921	4646	393
922	4651	388
923	4655	382
924	4660	377
925	4665	372
926	4670	367
927	4675	362
928	4679	357
929	4684	352
930	4689	347
931	4694	342
932	4698	337
933	4703	332
934	4707	327
935	4712	322
936	4717	317
937	4722	312
938	4726	307
939	4731	302
940	4736	296
941	4740	291
942	4744	286
943	4749	281
944	4754	276
945	4759	271
946	4763	266
947	4768	261
948	4773	256
949	4777	251
950	4782	246
951	4787	241
952	4791	236
953	4795	231
954	4800	226
955	4805	221
956	4809	216
957	4814	211
958	4819	206
959	4824	201
960	4829	195
961	4834	190
962	4838	185
963	4843	180
964	4848	175
965	4853	170
966	4857	165
967	4862	160
968	4867	155
969	4872	150
970	4876	145
971	4881	140
972	4886	135
973	4891	130
974	4896	125
975	4900	120
976	4905	115
977	4910	110
978	4914	105
979	4919	100
980	4924	95
981	4928	90
982	4933	85
983	4937	80
984	4942	75
985	4947	70
986	4951	65
987	4956	60
988	4961	55
989	4966	50
990	4970	45
991	4975	40
992	4979	35
993	4984	30
994	4988	25
995	4993	20
996	4998	15
997	5003	10
998	5008	5
999	5013	0
